me_name,me_id,bundle_id,crosswalk_version_id
Maternal Hemorrhage,1535,74,19694
Puerperal Sepsis,3085,422,20036
Other maternal infections,3086,423,20552
Hypertensive disorders of pregnancy,1543,75,20792
Eclampsia,1544,76,20033
Severe pre-eclampsia,10504,825,20900
Obstructed labour,1550,77,29777
Fistula,1552,78,17186
Maternal abortive outcome,1555,3419,20465
Ectopic pregnancy,10484,646,20810
