me_name,me_id,bundle_id,crosswalk_version_id
Maternal Hemorrhage,1535,74,45967
Puerperal Sepsis,3085,422,46251
Other maternal infections,3086,423,45972
Hypertensive disorders of pregnancy,1543,75,45969
Eclampsia,1544,76,45970
Severe pre-eclampsia,10504,825,46260
Obstructed labour,1550,77,45833
Fistula,1552,78,17186
Maternal abortive outcome,1555,3419,45974
Ectopic pregnancy,10484,646,46256
